tweet_id, retweet_count, favorite_count 
860981674716409858,1989,0
860924035999428608,738,0
860563773140209665,1989,7078
860524505164394496,4926,22330
860276583193509888,3264,17381
860184849394610176,5434,15734
860177593139703809,28717,0
859924526012018688,3824,18538
859851578198683649,3272,14605
859607811541651456,1449,17624
859196978902773760,28081,85006
859074603037188101,12708,32017
858860390427611136,7568,0
858843525470990336,3242,14791
858471635011153920,4541,20418
858107933456039936,2709,14951
857989990357356544,2427,15243
857746408056729600,9962,32524
857393404942143489,1541,5592
857263160327368704,4247,19089
857214891891077121,17,214
857062103051644929,157,0
857029823797047296,3735,17937
856602993587888130,,
856543823941562368,2710,15585
856526610513747968,1771,11306
856330835276025856,630,0
856288084350160898,15,491
856282028240666624,5917,26457
855862651834028034,24,320
855860136149123072,923,4676
855857698524602368,1990,11324
855851453814013952,17071,43754
855818117272018944,5129,25486
855459453768019968,7773,28459
855245323840757760,5624,0
855138241867124737,43,0
854732716440526848,5743,21766
854482394044301312,6476,28017
854365224396361728,4448,18093
854120357044912130,7081,30676
854010172552949760,2995,15588
853760880890318849,5469,27427
853639147608842240,9517,33290
853299958564483072,3390,14890
852936405516943360,1894,0
852912242202992640,1719,8667
852672615818899456,2058,14371
852553447878664193,3315,15707
852311364735569921,9499,31938
852226086759018497,6547,19306
852189679701164033,1522,11077
851953902622658560,,
851861385021730816,19,0
851591660324737024,3322,15709
851464819735769094,6764,23444
851224888060895234,5508,20009
850753642995093505,8718,29769
850380195714523136,2495,12691
850333567704068097,315,3349
850145622816686080,3644,15821
850019790995546112,4676,19781
849776966551130114,7292,29445
849668094696017920,4761,0
849412302885593088,3028,15400
849336543269576704,1825,11092
849051919805034497,8146,41094
848690551926992896,4168,24447
848324959059550208,4460,24009
848213670039564288,699,7933
848212111729840128,2917,15862
847978865427394560,3147,0
847971574464610304,420,0
847962785489326080,4893,22876
847842811428974592,1278,5279
847617282490613760,400,6792
847606175596138505,3312,18271
847251039262605312,4181,19966
847157206088847362,5662,19358
847116187444137987,3077,20904
846874817362120707,3792,19567
846514051647705089,11153,43419
846505985330044928,2962,13745
846153765933735936,8736,30765
846139713627017216,9730,30267
846042936437604353,2772,15575
845812042753855489,8405,28490
845677943972139009,4655,24589
845459076796616705,,
845397057150107648,1733,7448
845306882940190720,5215,22773
845098359547420673,7424,0
844979544864018432,2470,13325
844973813909606400,3086,14693
844704788403113984,,
844580511645339650,3029,16088
844223788422217728,2126,13365
843981021012017153,2871,14834
843856843873095681,4489,20974
843604394117681152,2665,16524
843235543001513987,5855,21031
842892208864923648,,
842846295480000512,3531,14967
842765311967449089,1237,6587
842535590457499648,3412,17730
842163532590374912,5624,23926
842115215311396866,2948,13682
841833993020538882,14638,0
841680585030541313,7611,25232
841439858740625411,3578,12398
841320156043304961,5364,19413
841314665196081154,4525,15540
841077006473256960,5176,22396
840761248237133825,1720,0
840728873075638272,15659,0
840698636975636481,2,171
840696689258311684,949,12060
840632337062862849,1720,8820
840370681858686976,4440,16130
840268004936019968,5576,18890
839990271299457024,2221,13193
839549326359670784,7568,26966
839290600511926273,140,0
839239871831150596,6385,26638
838952994649550848,3901,19318
838921590096166913,2004,10929
838916489579200512,33,0
838831947270979586,10762,0
838561493054533637,1307,10779
838476387338051585,4663,22106
838201503651401729,9817,0
838150277551247360,324,1639
838085839343206401,1,138
838083903487373313,3055,17344
837820167694528512,7689,33521
837482249356513284,435,3804
837471256429613056,2225,12590
837366284874571778,,
837110210464448512,2317,15803
837012587749474308,,
836989968035819520,2256,12557
836753516572119041,4555,19056
836677758902222849,2189,12440
836648853927522308,548,0
836397794269200385,26966,0
836380477523124226,2933,14560
836260088725786625,4226,21006
836001077879255040,4180,18806
835685285446955009,7984,0
835574547218894849,3554,17551
835536468978302976,1663,0
835309094223372289,20537,0
835297930240217089,2951,16246
835264098648616962,1663,7616
835246439529840640,72,2068
835172783151792128,5659,25785
835152434251116546,2949,22070
834931633769889797,1607,10663
834786237630337024,5414,21120
834574053763584002,2484,13457
834477809192075265,10459,0
834458053273591808,1647,9506
834209720923721728,4659,20308
834167344700198914,3605,15629
834089966724603904,2099,9895
834086379323871233,2169,12892
833863086058651648,2369,13265
833826103416520705,3716,17857
833732339549220864,219,0
833722901757046785,3173,20561
833479644947025920,2016,14683
833124694597443584,4761,19942
832998151111966721,2163,13085
832769181346996225,39,0
832757312314028032,3565,16662
832682457690300417,2868,11722
832645525019123713,524,2891
832636094638288896,2741,15646
832397543355072512,2182,11834
832369877331693569,3147,16981
832273440279240704,2300,11217
832215909146226688,6126,0
832215726631055365,9181,0
832088576586297345,2,62
832040443403784192,9463,0
832032802820481025,4599,17657
831939777352105988,6038,23702
831926988323639298,34,332
831911600680497154,6398,27274
831670449226514432,1787,10310
831650051525054464,1894,7042
831552930092285952,2289,8875
831322785565769729,1534,9177
831315979191906304,1113,6469
831309418084069378,2431,11623
831262627380748289,2014,11782
830956169170665475,1476,7889
830583320585068544,16515,66061
830173239259324417,5609,0
830097400375152640,2894,9689
829878982036299777,4934,0
829861396166877184,1914,12108
829501995190984704,10459,31396
829449946868879360,1985,10354
829374341691346946,,
829141528400556032,7229,24139
829011960981237760,16124,52668
828801551087042563,3381,0
828770345708580865,5779,25333
828708714936930305,11036,36130
828650029636317184,1323,9414
828409743546925057,1153,6295
828408677031882754,1275,7607
828381636999917570,2191,12479
828376505180889089,1055,7305
828372645993398273,2899,12451
828361771580813312,173,2168
828046555563323392,2842,11632
828011680017821696,2128,10260
827933404142436356,5182,19891
827653905312006145,2995,15353
827600520311402496,931,7402
827324948884643840,3005,15713
827228250799742977,,
827199976799354881,2199,10496
826958653328592898,4934,21396
826848821049180160,10032,35987
826615380357632002,3949,0
826598799820865537,248,5073
826598365270007810,2314,9941
826476773533745153,4145,18251
826240494070030336,2580,13171
826204788643753985,913,4834
826115272272650244,3067,15519
825876512159186944,1847,10383
825829644528148480,2468,12639
825535076884762624,17407,56437
825147591692263424,4497,18158
825120256414846976,1240,0
825026590719483904,1240,6245
824796380199809024,5452,0
824775126675836928,3479,14789
824663926340194305,1759,10452
824325613288833024,10466,11738
824297048279236611,3820,14955
824025158776213504,594,4798
823939628516474880,2686,10553
823719002937630720,11090,0
823699002998870016,2502,13888
823581115634085888,2605,12937
823333489516937216,24,699
823322678127919110,3987,15623
823269594223824897,9811,0
822975315408461824,3418,17216
822872901745569793,42862,130735
822859134160621569,2258,13167
822647212903690241,6369,0
822610361945911296,2933,14710
822489057087389700,6369,18040
822462944365645825,14165,27799
822244816520155136,9811,34763
822163064745328640,4726,0
821886076407029760,2286,11266
821813639212650496,3351,0
821765923262631936,1645,8358
821522889702862852,1748,7993
821421320206483457,5541,0
821407182352777218,4313,11698
821153421864615936,10,254
821149554670182400,1961,8600
821107785811234820,2126,9551
821044531881721856,2264,12609
820837357901512704,6687,0
820749716845686786,9817,31378
820690176645140481,3209,12162
820494788566847489,562,0
820446719150292993,2557,0
820314633777061888,562,3334
820078625395449857,6244,19728
820013781606658049,1172,0
819952236453363712,1172,5311
819924195358416896,4863,12857
819711362133872643,3093,13319
819588359383371776,1979,9613
819347104292290561,1198,7189
819238181065359361,406,2260
819227688460238848,6687,22980
819015337530290176,36721,0
